transaction_id,sender_id,receiver_id,amount,timestamp
TX001,ACC001,ACC002,5000,2023-10-01 10:00:00
TX002,ACC002,ACC003,4800,2023-10-01 10:15:00
TX003,ACC003,ACC001,4500,2023-10-01 10:30:00
TX004,ACC004,ACC005,1000,2023-10-02 09:00:00
TX005,ACC005,ACC006,2000,2023-10-02 09:10:00
TX006,SMURF010,ACC_RECEIVER,500,2023-10-03 12:00:00
TX007,SMURF020,ACC_RECEIVER,500,2023-10-03 12:05:00
TX008,SMURF030,ACC_RECEIVER,500,2023-10-03 12:10:00
TX009,SMURF040,ACC_RECEIVER,500,2023-10-03 12:15:00
TX010,SMURF050,ACC_RECEIVER,500,2023-10-03 12:20:00
TX011,SMURF060,ACC_RECEIVER,500,2023-10-03 12:25:00
TX012,SMURF070,ACC_RECEIVER,500,2023-10-03 12:30:00
TX013,SMURF080,ACC_RECEIVER,500,2023-10-03 12:35:00
TX014,SMURF090,ACC_RECEIVER,500,2023-10-03 12:40:00
TX015,SMURF100,ACC_RECEIVER,500,2023-10-03 12:45:00
TX016,SHELL01,SHELL02,200,2023-10-04 08:00:00
TX017,SHELL02,SHELL03,150,2023-10-04 08:10:00
